title,company,location,URL
Data scientist (Barcelona),Krashlando,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=6f0b04cb9f2a5187&fccid=5e88048acc92e2e1&vjs=3
Medior Data Engineer,Full Orbit,"Barcelona, Barcelona provincia",https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CHmRSAiKfn_6SJNYdHvOnGfi3mA1Tv1I-CchdVbcGCwWRiqOgnHORgHiYo9MDfu9SDCeJqycBKweyX91Iu-sCcec-CaRG1A3RBAj98Vk63hqUdtgcjmZ_2HN8M6iChOxSkTLw7tv8toPCp2sm_dmpMK9PiGhUwm8mtI9oF7mUdFiViADPSSqvwQPW2yHQBFrIcrJmZGNoOtqwtVHczaPqtiK7yXfSNMzxZZ8pGt2Y33Ub32zKRGEgWZRm3SHzoYiRzuzE2mwdho8lwkvBrmi6t8PG00NFk79Kh3ZBAKF3k5MLqq-OeDuY5Iww687mC0hu3ZJskiajrccALW4rszTNfmUeeLHX75fRrDKtHabIRt-BNX3WUOMddL920R5k1DNZFUXuN6J2-gnEfpU4AXZrWyWd-Z2YgBgZfvhS5-nZgF4FwM4ny82GrImodSpI5sIx07T6OBdhx_b7qiPgjRHey&p=10&fvj=1&vjs=3
Demand Planning data scientist,Essity,"Barcelona, Barcelona provincia",https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADeQntpmtUMXxyoh-Qt_3imdmypB23asUa0gM9HHSZqE6xeF0-5k3xfNwS9P1-smviOovZwVIbKI8Lo9HhgGW7Nn1ZBUKV30hxRxOnTIlNbHh30Nzkm5cZmvGPq2W_rW8CO_dXReZPYUbY9qslwrv4QHZLUuWG2OvMRGeMBZIAcqkgdWJwIIpxAGVFF0iFEbRUTOb785pl26u6JxooqbeBeYkbwyCPQ6OdyaDB147saBoPskLhU1AkmPsMF-Yvki3kVOmrKMRNy4Iq9UPz4aoThPrw0yNcEW0GSyUtS-ipWdzjo4pcH57WscXcn4kZ8dxiG71zPAZ5QXAC8FVQLseyI31z2AqLQGJwqqxbsKyg6Nz65cEWP_1LnqQB1sylLOW4vnROasfv3UOK9F48YK1-64ldmIrxiN0-WUfS94I1sJGo_Napn5F0gy37gPMa6GWxkO1PDAs4xpRUsNF8jJy2jHsZeMPyNkQf99g986APm9C_bw18rSuN6y4ASQ8ycy6dmALBmhqjnJcRIDNnSwWb&p=11&fvj=0&vjs=3
Data Quality Analyst in Salzburg,Red Bull,España,https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CIPDEU_x6AGOgRFDt8pM7SMuLWX57uHXvOgUF4Ty5eIA8izWm2ylNgEfZCecYI0Xup4uWhYt5MsHhpTSfgFMbJuoV2xxgh0nc0Rx-s0PQYd0JuS2kMJpJMKs0nEimy5Wg2qs6seYg6F7JYjiZ3d7uSXPWfGbqSu-S_-X2r7J3ZubFwND9aWy_ej5DR8Nkts0WI1ls4w6rDU3O20-vqnq_9qsLFg9cwZBtx6t4ZPblMjiCcPI4uTpgjkw9Dyk17JC1PguGkK9bA-fWcfJ6A4SaEHoJUMgghAdOT1BJ7v_sKF82KB1Z5XN0EnFGWu65olfurqHV5gdExG1FrTkRPvgV4mUqrDEMzFk1aGJNB-QkoIxm7WmpbXPkJ7MdnxasAZjx9zIYajxuf525oVmBdemNMXPpjO16uS_VzfMOV0nKIk9haNgdpqkso93XFFqSfsdIQ-y8VD138mfI7C3YFKambdGoSRmSEtDY6bcQVzDbbAQn-9Ve3N2vCuk3AS1cvt94=&p=12&fvj=1&vjs=3
Data Science Graduate Program,Bertelsmann SE &amp; Co. KGaA - Corporate Center,España,https://es.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BA3NfIPQdeFiObJux3KA6mAEJHKASivkOLnZGLQNtuedDpcRx3uB3o8D6odEEWhkEr8JLY-pSQR_1AEpO83vBKTqNqj_dF-Kc1jq2MNVgMVoi4JA8NWhTRrD-ddrdzESZRPY2eumnHh7sdNVNvMYJkPk2bXDgtyC7p65jEUDamlvapR7FnLUOlgLhECWQULbpHA6RUnwWNLy8LOxcD7lH2r7MnzxAQCjG0IrhLYNjfyq4mw_Yz0KGx2cykm0JWzFbTyl9BpP6vU3DSzyJNfngcfyfaRd7RXHSNXb_ERQZCeSG3dR4vYN6xWT93Wk3ER8JTOCZ0I8RjyQe4UsXkYBMHXullABFXQISV53el8jVRHIBSQ1xR_qirkg9_awK6jfXMBTB19eHk_N_R5uV3KaFz2IlS7ZfASmmZ0DzJj89RCjiUKWd1BscKMm2UMb6XktJxrEl-4eljCqs1qtJTNv540ZfNL8aK0vM7kDPlukQHc_HFOWn6ftV5&p=13&fvj=0&vjs=3
Senior Machine Learning Scientist,Amazon EU SARL (Spain Branch),"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=3bb59ee8dff2d373&fccid=fe2d21eef233e94a&vjs=3
Senior UX Researcher,King.com,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=0c748cca1839d1c3&fccid=cadcae9e8089792b&vjs=3
Senior UX Researcher,King,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=2f9f06e945b0531e&fccid=6d65cb9ba1f73d65&vjs=3
Product / Business Performance Manager,King,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=c482f55c7744c61c&fccid=6d65cb9ba1f73d65&vjs=3
Product Manager,King,"Barcelona, Barcelona provincia",https://es.indeed.com/rc/clk?jk=436640a5c225f817&fccid=6d65cb9ba1f73d65&vjs=3
